Date,Open,High,Low,Close,Volume
23-07-2018,4295.000000,4382.500000,4276.500000,4340.000000,441906.000000
24-07-2018,4360.000000,4360.000000,4317.500000,4322.000000,334112.000000
25-07-2018,4312.000000,4396.000000,4305.000000,4385.000000,470637.000000
26-07-2018,4400.000000,4421.000000,4387.500000,4420.000000,526279.000000
27-07-2018,4417.500000,4426.000000,4383.000000,4425.000000,359005.000000
30-07-2018,4400.500000,4430.000000,4370.500000,4410.000000,443180.000000
31-07-2018,4400.500000,4488.000000,4377.500000,4451.500000,803941.000000
01-08-2018,4460.000000,4509.000000,4454.500000,4494.000000,512006.000000
02-08-2018,4483.000000,4527.000000,4478.000000,4501.500000,442819.000000
03-08-2018,4485.500000,4529.000000,4467.500000,4499.500000,479732.000000
06-08-2018,4501.500000,4517.000000,4450.000000,4479.000000,410159.000000
07-08-2018,4479.000000,4539.000000,4472.000000,4520.000000,428156.000000
08-08-2018,4520.000000,4525.000000,4448.000000,4499.000000,536679.000000
09-08-2018,4490.000000,4598.000000,4490.000000,4598.000000,700909.000000
10-08-2018,4591.000000,4648.000000,4546.000000,4577.000000,669231.000000
13-08-2018,4551.000000,4601.500000,4521.500000,4541.000000,728252.000000
14-08-2018,4560.000000,4579.000000,4452.500000,4460.000000,754314.000000
15-08-2018,4454.000000,4465.000000,4361.500000,4428.500000,885542.000000
16-08-2018,4428.500000,4440.000000,4351.500000,4396.000000,435443.000000
17-08-2018,4388.000000,4418.000000,4358.000000,4375.000000,435001.000000
20-08-2018,4395.000000,4425.000000,4370.000000,4386.000000,268771.000000
21-08-2018,4393.500000,4466.500000,4353.000000,4465.000000,511213.000000
22-08-2018,4472.000000,4512.500000,4449.000000,4512.500000,507659.000000
23-08-2018,4512.500000,4541.000000,4421.000000,4450.000000,656188.000000
24-08-2018,4450.000000,4531.500000,4423.000000,4500.500000,629340.000000
27-08-2018,4502.000000,4577.000000,4492.000000,4577.000000,249895.000000
28-08-2018,4581.000000,4598.000000,4545.000000,4587.500000,405312.000000
29-08-2018,4590.000000,4687.500000,4585.000000,4638.500000,640827.000000
30-08-2018,4653.000000,4738.000000,4640.500000,4702.000000,687408.000000
31-08-2018,4695.000000,4719.500000,4663.000000,4700.500000,711447.000000
03-09-2018,4690.500000,4749.000000,4685.500000,4728.000000,287151.000000
04-09-2018,4746.500000,4762.500000,4704.500000,4717.000000,351573.000000
05-09-2018,4704.000000,4710.500000,4637.000000,4637.000000,528439.000000
06-09-2018,4630.000000,4650.000000,4594.000000,4610.500000,581661.000000
